rank,domain,word,tld,score,tier,reason
1,tuplo.ai,tuplo,ai,10,invented,
2,zeoli.ai,zeoli,ai,10,invented,
3,stomi.ai,stomi,ai,10,invented,
4,linta.ai,linta,ai,10,invented,
5,lepta.ai,lepta,ai,10,invented,
6,runla.ai,runla,ai,10,invented,
7,runke.ai,runke,ai,10,invented,
8,runua.ai,runua,ai,10,invented,
9,runra.ai,runra,ai,10,invented,
10,runma.ai,runma,ai,10,invented,
11,runre.ai,runre,ai,10,invented,
12,fermia.ai,fermia,ai,10,invented,
13,phenia.ai,phenia,ai,10,invented,
14,loessa.ai,loessa,ai,10,invented,
15,cirqua.ai,cirqua,ai,10,invented,
16,didone.ai,didone,ai,10,invented,
17,runhia.com,runhia,com,10,invented,
18,runeya.ai,runeya,ai,10,invented,
19,runtio.ai,runtio,ai,10,invented,
20,runene.ai,runene,ai,10,invented,
21,runate.ai,runate,ai,10,invented,
22,runere.ai,runere,ai,10,invented,
23,runeua.com,runeua,com,10,invented,
24,runete.com,runete,com,10,invented,
25,runria.com,runria,com,10,invented,
